Video ID,Approx Duration (ms),Video Category,Video Description (Original),Channel ID,Tag 1,Video Title (Original),Privacy,Video State,Video Create Timestamp,Video Publish Timestamp
qzAuItWHn80,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Depth Tribes,Public,Processed,2023-05-17T15:23:05+00:00,2023-05-17T15:27:21+00:00
qDrQoVd1vws,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Homelessness & Mental Health,Public,Processed,2023-05-17T18:15:05+00:00,2023-05-17T18:17:42+00:00
IRdQQvPkj60,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Broken System,Public,Processed,2023-05-17T18:44:58+00:00,2023-05-17T18:48:39+00:00
6dLSdYQtL8E,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Love Big Super Strong,Public,Processed,2023-05-18T14:16:20+00:00,2023-05-18T14:20:31+00:00
oUzn25jS_2E,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Ancient Breath #meditation #ancestors #rewilding #connection #mindfulness,Public,Processed,2023-05-21T17:09:31+00:00,2023-05-21T17:32:19+00:00
firQ8kEZzBE,60000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Battle Buddies,Public,Processed,2023-05-23T19:34:17+00:00,2023-05-23T19:34:45+00:00
ijSXq-mN-eM,59000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Authentic Giving & Receiving,Public,Processed,2023-05-23T20:36:22+00:00,2023-05-23T20:38:22+00:00
hPyXNTRTTr4,496000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Reconciliations,Public,Processed,2023-05-24T18:53:34+00:00,2023-05-24T19:02:01+00:00
jrKxdPSaZVk,652000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Union of Mysticism & Reason,Public,Processed,2023-05-24T19:25:44+00:00,2023-05-24T19:39:48+00:00
q3XKx4Ffznc,172000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Human Values,Public,Processed,2023-05-25T10:02:51+00:00,2023-05-25T10:12:36+00:00
vI7t_zYQS88,226000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Treasure in a Field; Matthew 13:44,Public,Processed,2023-05-25T19:18:39+00:00,2023-05-25T19:21:24+00:00
LNNtKtHWYag,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Human Value,Public,Processed,2023-05-25T19:25:43+00:00,2023-05-25T19:26:06+00:00
aHcR_ydyzPU,579000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,"Simulated Reality, Complex Harmonies, Layered Dimensions, &",Public,Processed,2023-05-28T14:34:16+00:00,2023-05-28T14:41:47+00:00
o57z7OZy4B0,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Progress! Thank You!,Public,Processed,2023-05-28T23:00:08+00:00,2023-05-28T23:05:51+00:00
LGV_GAU9LNI,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Caring for others | self-sacrifice,Public,Processed,2023-05-29T00:05:06+00:00,2023-05-29T00:07:46+00:00
NDcVd_W_f7M,549000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Finding Our Common Work,Public,Processed,2023-06-02T13:09:22+00:00,2023-06-02T13:13:43+00:00
s-FHMEKB3JI,56000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Sick and Broken As You,Public,Processed,2023-06-02T15:57:32+00:00,2023-06-02T16:00:05+00:00
jSyNcmBMUQU,299000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,"What We Build, Builds Us",Public,Processed,2023-06-08T11:00:41+00:00,2023-06-08T11:05:48+00:00
DimdLeG1RcI,426000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,"Flywheels, Finger Patterns, & Formlessness",Public,Processed,2023-06-08T14:50:48+00:00,2023-06-08T14:58:06+00:00
SfaQy5uT0n8,328000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Haunted Artists,Public,Processed,2023-06-09T22:08:32+00:00,2023-06-09T22:31:33+00:00
GOwDzOaH-xU,34000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Very Very Strong,Public,Processed,2023-06-19T18:55:13+00:00,2023-06-19T18:56:27+00:00
Ck9RIts7g2E,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Trauma Talk with Trav,Public,Processed,2023-06-19T19:08:40+00:00,2023-06-19T19:13:14+00:00
kDgoUrfvRlM,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,We Must Find Forgiveness,Public,Processed,2023-06-19T19:21:11+00:00,2023-06-19T19:35:20+00:00
uXRR1U0-osk,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Forgiveness As An Ally,Public,Processed,2023-06-19T19:23:41+00:00,2023-06-19T19:35:46+00:00
VDG1ewymgbY,565000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,"Submersibles, Subtexts, & the Akashic Record",Public,Processed,2023-06-23T15:09:58+00:00,2023-06-23T15:15:01+00:00
N-nop4rK7bU,239000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Oneness & Boundaries,Public,Processed,2023-06-23T19:31:17+00:00,2023-06-23T19:31:57+00:00
JLNRo9qZkac,60000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,"It Ain’t Personal, It’s Love",Public,Processed,2023-06-23T20:31:55+00:00,2023-06-23T20:32:20+00:00
C8khF_055WE,294000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,"Wet Stones, What We Build, & Weak Accents",Public,Processed,2023-06-24T12:51:28+00:00,2023-06-24T12:53:57+00:00
yoQ8L_VLz6o,683000,Education,"I promised to bring forth this educational material for people who are rising above their own dark stories. Here is the latest iteration along those lines.

My vision for several years now has been to create the next-generation Fred-Rogers-Inspired educational material. 

It’s for those of us who knew Sesame Street, Electric Company, Reading Rainbow, etc. 

Public Broadcasting is so important. And right now, many of us have the basic tools needed to broadcast our own channels. I am broadcasting as a matter of practice. As a matter of exercising my voice. I am documenting my artistic/healing journey and sharing it with you. I am participating in the form on which I was raised (screen time).

This material that I present to you here has been developing over a long time. If you have been following my work (or my life) you understand. 

I am answering my calling to be an encourager in this world. I am humbled by the complexity of our relationships to one another. I honor your path.

It is my intention to broadcast a sign of hope, a sign of peace, a sign of faith. A sign of layered intelligence. A Divine signal. Deep calls to Deep.

I can only see myself in you.
You are the Way,
Don’t hide it under a bushel
Let it shine",UCUQkPM6zQzIs0B6HiSlXbwg,,Highly Sensitive People,Public,Processed,2023-06-24T17:42:24+00:00,2023-06-24T17:44:20+00:00
e1g6yIAqwtM,413000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,"Mordor, Mass-Programming, & Middle-Aged-Men: The Subversive Crafting of New Wine Skins",Public,Processed,2023-06-24T20:18:35+00:00,2023-06-24T20:20:34+00:00
Cwrj-9ZQYis,382000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Initiation Ceremony: Facing Vader,Public,Processed,2023-06-24T22:22:02+00:00,2023-06-24T22:23:15+00:00
 -oN1Pxl83pE,394000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Eastern High Plains: Field Notes,Public,Processed,2023-06-25T13:43:35+00:00,2023-06-25T13:45:42+00:00
k3_c1yF55Ak,671000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Analyze This,Public,Processed,2023-06-25T19:43:26+00:00,2023-06-25T19:45:41+00:00
ep9PGf0YljI,15000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Cruise Control,Public,Processed,2023-06-26T16:00:00+00:00,2023-06-26T16:00:34+00:00
awNtKYzdYRI,737000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Fellowship of Suffering,Public,Processed,2023-06-27T21:28:42+00:00,2023-06-27T21:40:58+00:00
GUe_lEWfKl0,1317000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Perennial Wisdom: Sacred Intergenerational Exchange,Public,Processed,2023-07-04T00:39:21+00:00,2023-07-04T00:47:30+00:00
W_Kg2eOEu9g,660000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Sell Your shit. Give to the Poor. Matthew 19:21,Public,Processed,2023-07-05T15:33:49+00:00,2023-07-05T15:39:55+00:00
s2xMF8EFwdM,747000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,"Eastern High Plains: Ron Shipp, The Big Empty",Public,Processed,2023-07-06T20:59:32+00:00,2023-07-06T21:04:53+00:00
qntqtf9Mndc,1004000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,"Red Church, Blue Church, i Church, you Church, George Floyd, Derek Chauvin, Archetypal Faces",Public,Processed,2023-07-07T17:28:29+00:00,2023-07-07T17:33:32+00:00
ofpdFq5V6Ic,1160000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,"Sacred Text, Inhibiting Sacred Nature, & Karl Marx",Public,Processed,2023-07-09T02:47:54+00:00,2023-07-09T02:53:34+00:00
A_w7CWq3mMQ,198000,Education,"Part of my mission is to support and promote my artist friends, old and new.

Do you have a work that deserves attention? Are you in the midst of discovering something new in yourself? 

It is essential that we support one another as we build our new containers. 

It is essential that we nourish one another as we create content for the containers that we have built.

Matt builds containers and much more. 

As we discover where our work overlaps, we are free to help one another without compromising our integrity.

I would love to discover our common work and possibly document the depth-work as we witness it arising from you.

Please stay tuned for the next episode of L&tEoW, where we will be celebrating the Life and Art of Matthew McUne.",UCUQkPM6zQzIs0B6HiSlXbwg,,Creative Nature: Matthew McUne,Public,Processed,2023-07-12T15:37:37+00:00,2023-07-12T15:42:19+00:00
PiQtmD-gQXc,8192000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Labor and Worth,Unlisted,Processed,2023-07-22T11:48:00+00:00,
fKbOPxiOWBI,7298000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Creative Nature: Initiation Ceremonies | Matthew McUne,Public,Processed,2023-07-29T12:38:24+00:00,2023-07-29T15:10:42+00:00
ZvCUPTZhQak,2997000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,"Creative Nature: Anna Gonzales, Vera Rubin, Claude Shannon, Zac Lee, Theseus",Public,Processed,2023-08-04T04:18:05+00:00,2023-08-17T18:23:26+00:00
WcYlpTVMl4M,1013000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,"The Moth, The Mountain, & The Middle-Aged-Man: Serpents and Stones",Public,Processed,2023-08-04T18:15:10+00:00,2023-08-17T18:05:47+00:00
dDjVWs2Cexw,1740000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,MM&MAM: Patrimony,Public,Processed,2023-08-09T10:45:42+00:00,2023-08-19T11:00:35+00:00
ZTyKStENkho,1711000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Exquisite Stillness,Public,Processed,2023-08-09T11:34:59+00:00,2023-08-19T11:00:24+00:00
7g9HUD8WIFQ,1349000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,"Creative Nature: IndigieFemme, Delbert Anderson,",Public,Processed,2023-08-09T20:28:14+00:00,2023-08-18T23:00:04+00:00
f8la7eMSPm4,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Common Work,Public,Processed,2023-08-10T09:59:39+00:00,2023-08-19T15:06:54+00:00
WC_7aNy4h0Q,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Subversive Nature,Public,Processed,2023-08-10T11:09:10+00:00,2023-08-10T11:09:48+00:00
I4jLSCsX7Pg,446000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,MM&MAM,Public,Processed,2023-08-15T04:33:50+00:00,2023-09-05T05:00:06+00:00
jjAtUaY55jU,1340000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Tikun Olam 14 aug evening,Private,Processed,2023-08-15T10:57:37+00:00,
6KnnDvK-eNo,1376000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,"Tikun Olam:  Indigie Femme, Delbert Anderson",Public,Processed,2023-08-16T00:10:06+00:00,2023-08-18T15:48:46+00:00
Z9Mzr2KYy4o,176000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Rock and Roll will never die,Public,Processed,2023-08-16T13:32:05+00:00,2023-08-16T13:33:19+00:00
 -wEn8GgabJg,60000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Woody Guthrie: Subversive Verse,Public,Processed,2023-08-16T14:59:28+00:00,2023-08-16T15:00:15+00:00
dVoFvk8PUDQ,254000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Moral Foundations Theory: Jonathan Haidt,Public,Processed,2023-08-17T03:07:53+00:00,2023-08-17T03:09:13+00:00
CyiVh5doZeE,447000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Empath Survival Skills,Public,Processed,2023-08-17T15:34:51+00:00,2023-08-17T15:37:32+00:00
_BAWDBn2qHw,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Corporate Owned Mythology,Public,Processed,2023-08-17T17:02:14+00:00,2023-08-17T17:02:51+00:00
6tP7Zd9WZuU,483000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,Under Pressure,Public,Processed,2023-08-18T21:49:28+00:00,2023-08-19T13:00:10+00:00
s-ITCejaJ3c,260000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,"Princess Bride Wisdom: Good night, Westley…",Public,Processed,2023-08-19T15:03:59+00:00,2023-08-19T15:04:48+00:00
