Video ID,Approx Duration (ms),Video Category,Video Description (Original),Channel ID,Tag 1,Tag 2,Tag 3,Tag 4,Video Title (Original),Privacy,Video State,Video Create Timestamp,Video Publish Timestamp
-9Arzf1JzAw,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Triad of Sharks,Public,Processed,2024-10-29T06:19:56+00:00,2024-10-29T08:00:00+00:00
tq4nEW74aD4,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,TravelinStringCamp,Public,Processed,2024-10-29T06:21:36+00:00,2024-10-29T09:01:01+00:00
4P_H2oompt0,211000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,TravelinTrav,Public,Processed,2024-10-29T06:31:49+00:00,2024-11-17T05:00:05+00:00
6aPwksR-GPA,600000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,"L&tEoW: Root Systems, False Teachers, & Clandestine Chemistry Labs",Public,Processed,2024-10-29T18:22:46+00:00,2024-11-18T20:00:03+00:00
3YrMlyW5Ez8,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Root Systems,Public,Processed,2024-10-29T18:24:41+00:00,2024-10-29T21:46:39+00:00
ZUzKcd4IcFo,631000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Secret Place of The Most High,Public,Processed,2024-10-29T21:47:26+00:00,2024-11-17T21:00:30+00:00
ECv8pQt3RkI,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Secret Place of the Most High,Public,Processed,2024-10-29T22:15:46+00:00,2024-10-30T09:00:10+00:00
4fk2locpN2U,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Eulalia,Public,Processed,2024-10-29T22:18:23+00:00,2024-10-30T08:53:35+00:00
EDcb999IZSw,245000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Discovering Common Work,Public,Processed,2024-10-30T21:16:58+00:00,2024-11-19T20:00:07+00:00
ZdQ_PWS0AEM,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Hunting & Gathering,Public,Processed,2024-10-30T21:19:30+00:00,2024-10-30T21:20:04+00:00
xHq7OTcSaDc,798000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Self Government & Interpersonal Intelligence,Public,Processed,2024-10-30T21:40:01+00:00,2024-10-30T21:40:38+00:00
lX_bttidWEc,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Deeper Look,Public,Processed,2024-10-30T21:54:36+00:00,2024-10-30T23:00:29+00:00
uCqHOUArJtg,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Challenging Work,Public,Processed,2024-10-30T21:56:31+00:00,2024-10-31T00:00:46+00:00
kdTr-HhcAig,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Spirit Horse,Public,Processed,2024-10-30T21:59:28+00:00,2024-10-31T01:00:36+00:00
MeEdev4yJBc,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,SpiritHorse!,Public,Processed,2024-10-30T22:02:00+00:00,2024-10-31T03:00:17+00:00
ThwTe9ihzms,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Treasure In A Field,Public,Processed,2024-10-30T22:03:39+00:00,2024-10-31T04:00:21+00:00
Q8-v3QUyDUs,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Transcending Pronouns,Public,Processed,2024-10-30T22:05:52+00:00,2024-10-31T05:00:30+00:00
DeMdgrFZ_oQ,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Desert Initiation,Public,Processed,2024-10-30T22:07:37+00:00,2024-10-31T06:00:11+00:00
WXTOnJS0MPc,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Archetypal Storytelling,Public,Processed,2024-10-30T22:08:59+00:00,2024-10-31T07:00:29+00:00
7EQJGF6RZFg,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Hunting & Gathering,Public,Processed,2024-10-30T22:11:56+00:00,2024-10-31T08:00:03+00:00
Ul7PPQ1hMIQ,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Terminal Narcissist,Public,Processed,2024-10-30T22:13:52+00:00,2024-10-31T09:00:29+00:00
PYfOLnQ-abc,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Terminal Narcissist,Public,Processed,2024-10-30T22:16:50+00:00,2024-10-31T11:00:28+00:00
gLMs2hSuxN4,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Confession Comedy,Public,Processed,2024-10-30T22:18:09+00:00,2024-10-31T12:01:00+00:00
Y4jyTYb2ZF4,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,"Liberals, Conservatives, & Storytelling",Public,Processed,2024-10-30T22:20:51+00:00,2024-10-31T13:00:43+00:00
yiFta5xDr7o,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Weak Minded Pu@*ies,Public,Processed,2024-11-01T14:09:34+00:00,2024-11-01T14:21:34+00:00
uG8rg0Jh8s4,770000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,"Process, Progress, & Weak Minded Pussies",Public,Processed,2024-11-01T14:11:24+00:00,2024-11-01T17:07:35+00:00
FEtGwUKehQY,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Beatitudes,Public,Processed,2024-11-01T14:11:33+00:00,2024-11-01T14:14:36+00:00
W6X_wQXjTbU,66000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Good Stuff,Public,Processed,2024-11-01T14:12:14+00:00,2024-11-01T14:14:28+00:00
McfIud4_Wus,346000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Reality Obscures,Public,Processed,2024-11-05T15:45:59+00:00,2024-11-05T15:47:49+00:00
QtCI-4BpHKU,87000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Erroneous Non-Binary Teachings,Public,Processed,2024-11-05T16:47:27+00:00,2024-11-05T16:47:54+00:00
cE89RLCvxEU,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Non-Binary Appropriation,Public,Processed,2024-11-05T17:07:21+00:00,2024-11-05T17:08:08+00:00
