Video ID,Approx Duration (ms),Video Category,Video Description (Original),Channel ID,Video Title (Original),Privacy,Video State,Video Create Timestamp,Video Publish Timestamp
0bcWL7opXuQ,60000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,A Prayer for Healing Trauma,Public,Processed,2022-10-12T06:22:28+00:00,2022-10-12T06:22:48+00:00
XvRlBPPJ4WE,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,L&tEoW: Authority and Self Governance,Public,Processed,2022-10-12T19:33:55+00:00,2022-10-12T19:34:38+00:00
96jZTBCBcuQ,60000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,L&tEoW: Authority & Self-Governance,Public,Processed,2022-10-12T19:36:26+00:00,2022-10-12T19:36:56+00:00
G0U9jv9ZFz4,410000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,L&tEoW: Surrender Through Practice,Public,Processed,2022-10-13T12:30:11+00:00,2022-10-13T12:33:18+00:00
-7eAonYSoo4,60000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Masculine & Feminine flutes,Public,Processed,2022-10-13T16:34:08+00:00,2022-10-13T16:34:23+00:00
CI3d3CULwqE,36000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Red Dirt Blues,Public,Processed,2022-10-13T18:32:28+00:00,2022-10-13T18:32:46+00:00
D3gtSAasW9o,17000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,L&tEoW,Public,Processed,2022-10-13T18:37:12+00:00,2022-10-13T18:37:21+00:00
WPA4AmskM18,48000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,L&tEoW: When Is Disappointment Okay?,Public,Processed,2022-10-13T19:40:13+00:00,2022-10-13T19:43:06+00:00
CLIqxtA9hk4,9000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Labor & the Expression of Worth,Public,Processed,2022-10-13T20:07:49+00:00,2022-10-13T20:07:56+00:00
abWIMiiQtIY,59000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Martial arts violin,Public,Processed,2022-10-14T11:13:21+00:00,2022-10-14T11:14:16+00:00
GmEM8cygpq8,60000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,How to ride a Onewheel,Public,Processed,2022-10-14T11:33:58+00:00,2022-10-14T11:34:26+00:00
9zuXt17w20k,60000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,How to ride a Onewheel,Public,Processed,2022-10-14T11:38:31+00:00,2022-10-14T11:39:09+00:00
l2FRxdrZZog,136000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,L&tEoW: I see the light in you,Public,Processed,2022-10-14T17:29:30+00:00,2022-10-14T17:32:38+00:00
X-ToLYWCsUs,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,L&tEoW: I see the light in you,Public,Processed,2022-10-14T17:54:50+00:00,2022-10-14T17:55:18+00:00
