Video ID,Approx Duration (ms),Video Category,Channel ID,Video Title (Original),Privacy,Video State,Video Create Timestamp,Video Publish Timestamp
duwYvK7SDAE,243000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Performing Artists,Public,Processed,2025-08-08T03:19:25+00:00,2025-08-08T03:23:10+00:00
qD0MYXYYVVg,264000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Charlie’s Kid,Public,Processed,2025-08-08T17:43:17+00:00,2025-08-08T17:44:28+00:00
UPhNn6lYV90,307000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Performing Artists,Public,Processed,2025-08-08T17:44:19+00:00,2025-08-08T17:45:50+00:00
MvRYtHi-ldg,59000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Every Open Door,Public,Processed,2025-08-08T19:43:45+00:00,2025-08-08T19:44:29+00:00
xG-iKOC7v6c,27000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,No Sway No How,Public,Processed,2025-08-08T20:09:43+00:00,2025-08-08T20:10:18+00:00
QWO1JhaNdYA,18000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Restoration,Public,Processed,2025-08-08T21:42:54+00:00,2025-08-08T21:43:27+00:00
g9WDv0u0oOE,412000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Humility,Public,Processed,2025-08-10T05:53:17+00:00,2025-08-10T05:56:00+00:00
fZyRRC_4uA0,297000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Word of God,Public,Processed,2025-08-10T06:13:20+00:00,2025-08-10T06:14:49+00:00
NjTawfW4is8,136000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,True to Self,Public,Processed,2025-08-10T06:13:42+00:00,2025-08-10T06:14:17+00:00
3Fy-HXm1n88,122000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Truth & Consequences,Public,Processed,2025-08-11T23:17:20+00:00,2025-08-11T23:27:07+00:00
PJuNPAWqdwQ,191000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,He Came to His Own,Public,Processed,2025-08-11T23:18:07+00:00,2025-08-11T23:26:22+00:00
5hv6eCXIofM,253000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,One-ness with God,Public,Processed,2025-08-12T06:08:06+00:00,2025-08-12T06:10:08+00:00
5AZnLTKztVg,224000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,TransRationalBlues: West Coast Download,Public,Processed,2025-08-12T21:21:18+00:00,2025-08-12T21:23:36+00:00
dOHc7fg7WSo,507000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Hecklers & Hate Mail,Public,Processed,2025-08-14T07:40:13+00:00,2025-08-14T07:41:21+00:00
7_20zIG2Ghs,83000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,One with God?,Public,Processed,2025-08-15T06:33:11+00:00,2025-08-15T06:40:33+00:00
zbgiE7vTz8Q,270000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Column Christianity,Public,Processed,2025-08-15T06:33:54+00:00,2025-08-15T06:49:47+00:00
3lmKwk6zMLs,80000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,What Can We Do?,Public,Processed,2025-08-15T06:34:33+00:00,2025-08-15T06:49:45+00:00
NJQMfpzm_yc,73000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Complicity,Public,Processed,2025-08-15T06:35:08+00:00,2025-08-15T06:47:14+00:00
p7nqUZdRfHo,160000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Christ Authority,Public,Processed,2025-08-15T13:33:16+00:00,2025-08-15T13:35:12+00:00
_6AZebUx0aY,16000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,L&tEoW: Labor and the Expression of Worth,Public,Processed,2025-08-17T05:22:06+00:00,2025-08-17T05:23:47+00:00
pugCeJeLEo0,170000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,L&tEoW: Worth Fighting For,Public,Processed,2025-08-24T23:08:57+00:00,2025-08-24T23:15:00+00:00
07NeEdmJ9Jc,183000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,"Vulnerability, Art, & Love",Public,Processed,2025-08-25T23:08:27+00:00,2025-08-25T23:11:04+00:00
dUSOyYCBEDs,512000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Unspeakable Word,Public,Processed,2025-08-26T09:58:17+00:00,2025-08-26T09:59:42+00:00
q7cgb5HLis4,254000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,L&tEoW: Christ Offering,Public,Processed,2025-08-27T21:14:21+00:00,2025-08-27T21:29:36+00:00
_LiQs1cYRgU,377000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,L&tEoW: Christ Offering,Public,Processed,2025-08-27T21:15:08+00:00,2025-08-27T23:34:44+00:00
aV_JbG9DPZU,414000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Characteristics of Wisdom,Public,Processed,2025-08-30T16:21:16+00:00,2025-08-30T16:22:55+00:00
AqFt1o5sKXc,229000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Resisting In Love,Public,Processed,2025-08-31T21:46:15+00:00,2025-08-31T21:54:44+00:00
X6SpduBv8gE,221000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Non-Judgment Practice,Public,Processed,2025-09-01T09:46:28+00:00,2025-09-01T09:47:18+00:00
o8tHxzSD8R4,524000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Meditation & Postural Awareness,Public,Processed,2025-09-01T09:47:44+00:00,2025-09-01T09:54:09+00:00
9BgxLT0VjMs,388000,Education,UCUQkPM6zQzIs0B6HiSlXbwg,Minneapolis Shooting & Mental Health Radar,Public,Processed,2025-09-01T10:15:01+00:00,2025-09-01T10:16:07+00:00
